Well,Well Position,Sample Name,Target Name,Reporter,Quencher,CT,Ct Mean,Automatic Ct Threshold,Ct Threshold
146,G2,000003-2104,Assay1,FAM,NFQ-MGB,24.916,25.144,TRUE,0.04
146,G2,000003-2104,rApoB,VIC,NFQ-MGB,24.051,24.326,FALSE,0.032
147,G3,000003-2105,Assay1,FAM,NFQ-MGB,25.598,25.088,TRUE,0.04
147,G3,000003-2105,rApoB,VIC,NFQ-MGB,24.797,24.341,FALSE,0.032
148,G4,000003-2105,Assay1,FAM,NFQ-MGB,24.721,25.088,TRUE,0.04
148,G4,000003-2105,rApoB,VIC,NFQ-MGB,23.954,24.341,FALSE,0.032
149,G5,000003-2106,Assay1,FAM,NFQ-MGB,25.124,24.621,TRUE,0.04
149,G5,000003-2106,rApoB,VIC,NFQ-MGB,24.204,23.854,FALSE,0.032
150,G6,000003-2106,Assay1,FAM,NFQ-MGB,24.217,24.621,TRUE,0.04
150,G6,000003-2106,rApoB,VIC,NFQ-MGB,23.438,23.854,FALSE,0.032
151,G7,000003-2107,Assay1,FAM,NFQ-MGB,26.29,25.919,TRUE,0.04
151,G7,000003-2107,rApoB,VIC,NFQ-MGB,25.347,25.002,FALSE,0.032
152,G8,000003-2107,Assay1,FAM,NFQ-MGB,25.769,25.919,TRUE,0.04
152,G8,000003-2107,rApoB,VIC,NFQ-MGB,24.852,25.002,FALSE,0.032
153,G9,000003-2108,Assay1,FAM,NFQ-MGB,26.348,26.191,TRUE,0.04
153,G9,000003-2108,rApoB,VIC,NFQ-MGB,25.454,25.238,FALSE,0.032
154,G10,000003-2108,Assay1,FAM,NFQ-MGB,26.071,26.191,TRUE,0.04
154,G10,000003-2108,rApoB,VIC,NFQ-MGB,25.019,25.238,FALSE,0.032
155,G11,000003-2109,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
155,G11,000003-2109,rApoB,VIC,NFQ-MGB,26.094,25.883,FALSE,0.032
156,G12,000003-2109,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
156,G12,000003-2109,rApoB,VIC,NFQ-MGB,25.935,25.883,FALSE,0.032
157,G13,000003-2110,Assay1,FAM,NFQ-MGB,26.981,26.545,TRUE,0.04
157,G13,000003-2110,rApoB,VIC,NFQ-MGB,25.885,25.438,FALSE,0.032
158,G14,000003-2110,Assay1,FAM,NFQ-MGB,26.195,26.545,TRUE,0.04
158,G14,000003-2110,rApoB,VIC,NFQ-MGB,25.013,25.438,FALSE,0.032
159,G15,000003-2111,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
159,G15,000003-2111,rApoB,VIC,NFQ-MGB,26.247,25.734,FALSE,0.032
160,G16,000003-2111,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
160,G16,000003-2111,rApoB,VIC,NFQ-MGB,25.362,25.734,FALSE,0.032
161,G17,000003-2112,Assay1,FAM,NFQ-MGB,25.65,25.336,TRUE,0.04
161,G17,000003-2112,rApoB,VIC,NFQ-MGB,25.53,25.142,FALSE,0.032
162,G18,000003-2112,Assay1,FAM,NFQ-MGB,24.965,25.336,TRUE,0.04
162,G18,000003-2112,rApoB,VIC,NFQ-MGB,24.942,25.142,FALSE,0.032
163,G19,PTC-3-788,Assay1,FAM,NFQ-MGB,25.813,25.731,TRUE,0.04
163,G19,PTC-3-788,rApoB,VIC,NFQ-MGB,24.944,24.785,FALSE,0.032
164,G20,PTC-3-788,Assay1,FAM,NFQ-MGB,25.815,25.731,TRUE,0.04
164,G20,PTC-3-788,rApoB,VIC,NFQ-MGB,24.966,24.785,FALSE,0.032
